0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	Risk	Income
0	0	0	0	0	0	0	0	87	72	78	0	68	0	234	0	0	0	0	0	0	0	0	0	238	233	0	0	0	0	0	46.1676	4.00053
73	74	0	0	0	68	0	0	84	74	0	0	71	58	235	0	0	0	0	0	0	0	48	0	0	0	0	0	65	0	0	82.6868	3.41984
0	0	0	0	0	68	220	0	0	84	0	79	0	0	0	0	0	60	0	0	0	56	59	227	0	0	0	0	0	0	0	123.233	2.64446
0	0	187	0	0	69	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	235	0	232	0	60	59	0	0	163.957	3.08715
75	75	0	0	181	0	234	59	0	0	0	0	0	45	0	0	0	0	74	0	0	0	0	0	235	0	0	0	0	0	76	218.481	4.64574
0	74	0	0	171	0	0	0	0	79	0	0	71	0	0	0	0	0	66	0	0	0	0	233	234	0	0	0	0	0	0	267.917	4.61148
0	0	184	52	0	0	0	0	0	0	79	0	0	53	0	0	0	0	0	58	0	0	0	224	196	175	258	0	21	0	0	329.964	4.34179
70	70	0	0	180	0	222	56	0	0	0	0	0	0	0	273	75	0	0	58	0	0	0	0	0	0	0	0	0	0	78	381.05	3.71653
0	0	192	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	57	0	237	0	254	63	0	0	0	422.522	2.43162
0	0	0	0	177	0	0	0	0	0	0	77	0	49	0	0	0	0	0	0	176	45	0	231	0	234	0	57	0	95	0	477.944	5.39336
0	71	0	0	0	64	0	66	0	82	0	0	68	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	496.718	1.32508
69	68	0	0	0	0	226	0	0	74	0	71	0	0	226	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	532.191	2.8683
66	0	191	0	0	62	0	66	90	0	0	0	0	0	0	0	0	0	0	0	174	0	0	227	234	0	0	0	0	0	0	585.809	3.41774
0	0	0	0	174	0	0	0	0	0	78	78	0	50	0	0	0	58	0	0	0	59	0	0	0	0	257	71	0	0	76	630.446	3.9666
0	0	0	0	0	0	237	0	0	84	0	76	0	0	0	0	0	0	68	0	0	0	0	0	0	219	0	68	0	89	0	668.368	3.02377
76	0	190	0	0	0	0	0	0	0	0	0	70	0	0	0	0	59	74	57	0	0	56	0	234	0	0	65	58	0	0	711.919	2.76434
65	0	188	0	0	0	0	57	0	76	77	0	0	47	0	0	79	0	0	0	0	0	58	0	0	0	0	0	0	0	0	740.763	1.51359
0	0	0	0	0	0	0	0	0	69	0	72	65	59	0	0	0	45	0	0	172	0	0	0	0	0	257	0	59	91	0	780.381	2.95198
76	0	0	0	0	64	0	0	87	0	0	0	70	58	0	0	81	0	78	49	0	0	0	235	0	0	0	0	0	0	0	819.909	2.93042
77	0	186	84	179	0	0	0	0	0	74	0	63	0	0	0	0	0	78	0	0	0	0	235	233	0	0	0	0	0	0	881.915	5.08173
