0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	Risk	Income
0	75	0	0	0	60	0	0	89	0	78	0	0	0	0	0	0	60	0	54	0	0	0	230	0	0	0	0	0	90	0	35.3223	2.56111
61	0	189	0	182	0	0	0	0	0	0	0	0	59	0	0	0	0	74	0	175	0	0	0	0	0	0	72	56	0	0	42.7624	3.91137
0	0	190	0	0	0	0	0	0	84	77	0	0	0	0	0	0	0	0	0	0	0	0	231	228	220	0	0	0	99	72	55.7389	3.63526
0	0	186	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	79	48	0	0	0	235	0	234	255	64	0	0	0	62.702	4.54684
58	0	0	0	0	0	0	63	0	0	0	75	0	55	0	0	0	55	70	0	0	0	0	228	233	0	0	0	0	92	0	45.5529	3.05647
0	0	0	0	180	67	229	67	0	0	0	0	0	0	0	0	0	0	79	0	0	0	58	0	0	0	257	72	60	0	0	54.1061	5.04936
76	0	182	0	173	69	0	62	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	236	229	0	0	57	0	0	57.148	5.06076
76	0	191	0	0	0	0	60	0	0	0	0	71	0	0	0	0	0	0	0	167	0	0	0	233	0	257	0	0	0	0	48.9451	2.92123
0	78	0	0	0	0	0	0	87	77	0	69	0	0	235	0	0	0	0	0	166	0	56	0	0	233	0	0	0	99	0	47.0934	4.50252
0	72	188	0	169	0	0	66	86	83	0	0	0	57	0	268	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	49.4134	4.09769
0	78	0	87	0	0	0	66	0	0	0	0	70	0	0	0	0	58	76	54	0	0	0	0	0	231	0	0	67	0	0	35.8211	3.5408
0	0	185	0	0	0	236	56	0	0	0	68	0	56	0	0	70	0	0	0	0	0	0	0	233	0	249	0	0	0	0	54.3704	3.18689
68	0	0	0	0	0	0	0	0	72	71	0	0	53	0	0	0	0	0	58	0	0	57	230	0	226	0	0	0	0	0	39.6941	3.17076
76	0	0	86	0	0	0	0	0	0	75	75	0	0	0	0	0	0	0	0	0	53	58	0	0	0	0	0	0	0	68	21.27	1.56637
0	0	0	81	0	61	228	0	86	0	0	0	0	46	0	0	79	0	0	0	176	0	0	0	0	0	0	59	0	0	63	40.4414	2.62905
75	0	0	0	0	67	0	0	0	0	0	0	70	57	0	0	0	0	0	0	0	56	53	0	0	0	0	0	0	87	0	20.2337	1.26324
0	0	0	88	0	58	0	0	0	0	0	0	0	0	0	282	0	55	0	42	0	52	0	0	0	234	0	0	54	93	0	40.8661	2.48104
0	0	0	0	0	70	220	0	0	0	0	70	0	0	234	0	0	60	0	56	0	0	0	0	0	0	250	0	0	0	65	45.885	3.25317
0	0	0	87	0	0	0	0	0	0	0	76	0	0	0	278	0	0	0	0	0	55	0	232	0	0	257	69	59	0	0	48.6909	3.17107
0	77	0	0	0	0	231	0	89	0	73	0	61	0	0	0	0	0	0	57	0	0	59	0	224	0	0	0	65	0	0	44.3191	3.50972
0	0	192	0	0	0	0	0	0	0	0	0	69	42	0	0	0	0	0	0	172	45	0	229	0	0	0	0	0	90	0	37.0584	2.35618
76	75	0	0	0	0	225	0	0	0	0	74	0	0	0	0	0	0	76	0	0	0	0	227	0	0	250	72	0	96	0	53.9909	3.837
0	0	0	0	0	0	0	60	81	0	79	0	0	0	236	0	0	0	0	0	0	52	0	0	0	0	0	0	0	89	77	27.6506	2.43157
0	0	186	0	0	0	226	0	0	0	0	72	71	0	0	0	0	0	0	0	169	0	59	0	0	0	255	72	65	0	0	51.5362	3.67129
73	0	0	0	168	0	0	0	85	83	76	0	70	0	226	0	0	0	0	0	0	0	0	224	0	0	256	0	0	0	0	61.3236	5.86017
76	0	0	0	0	63	233	0	0	0	0	74	62	0	0	0	78	0	0	55	0	0	59	235	0	0	0	0	0	0	78	47.0037	3.12723
0	0	0	0	0	60	0	68	0	82	0	0	0	0	0	279	0	0	0	0	0	0	0	229	232	0	0	0	65	0	70	50.0434	2.79133
0	0	0	87	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	56	0	0	0	231	237	0	0	0	66	0	0	36.2288	2.77821
0	73	181	0	0	0	0	0	0	0	0	70	0	50	226	266	0	50	0	0	174	0	0	0	0	0	0	0	0	0	0	44.7536	2.542
71	0	0	82	169	0	0	0	0	0	0	0	71	53	0	278	0	0	0	0	0	0	54	0	0	0	0	0	0	98	0	40.7774	3.29704
0	0	187	0	0	0	0	0	91	0	0	0	67	0	0	0	0	0	0	0	171	58	0	0	0	234	0	67	0	94	0	41.6391	3.26236
64	0	0	0	0	0	0	0	88	0	0	0	68	58	0	0	0	0	0	50	167	58	0	0	224	0	0	0	0	0	0	37.2274	2.62871
0	75	0	0	0	69	0	0	0	0	0	78	0	0	231	0	0	0	0	0	0	0	54	0	0	230	0	0	0	0	0	31.3487	3.10898
0	0	0	0	171	0	0	56	0	0	0	78	70	0	229	0	80	58	0	0	169	0	0	0	0	0	256	0	0	0	75	58.0435	5.28308
75	0	0	0	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	225	0	228	249	0	0	96	74	58.1298	5.42649
0	0	190	0	179	65	235	0	0	84	0	0	62	0	0	0	0	0	79	0	0	0	54	0	0	0	0	0	66	0	0	50.5415	4.5508
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	80	0	0	0	170	47	59	228	0	0	0	69	0	0	74	42.9899	2.09575
61	0	0	0	0	64	0	66	0	0	0	0	0	0	233	0	81	0	0	0	0	0	0	235	230	0	257	57	56	0	0	61.5691	4.28974
72	0	0	0	175	0	0	0	0	0	0	0	0	58	0	279	76	0	73	0	0	0	0	0	0	0	0	58	62	0	66	43.525	3.30743
0	0	0	0	0	0	231	0	79	0	0	0	70	57	0	0	72	0	0	0	176	0	54	0	0	0	0	65	63	0	0	38.752	2.94832
58	77	0	0	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	233	0	226	0	71	0	98	0	45.6803	4.60605
63	0	0	0	0	0	0	67	0	0	0	0	0	0	0	278	0	54	72	0	0	0	0	229	0	0	0	64	0	0	77	40.4475	2.06836
0	0	189	0	0	70	0	63	0	0	0	75	0	0	0	0	81	0	75	0	0	0	0	0	237	0	0	62	66	0	0	42.8651	2.69247
66	70	0	0	0	0	0	0	0	0	0	0	64	53	0	0	81	60	0	0	0	57	0	0	0	232	0	0	0	0	70	32.9719	2.29115
0	0	191	0	178	0	0	63	0	0	73	0	0	0	0	277	0	47	0	54	0	0	0	0	0	0	0	0	0	0	0	42.3289	2.99936
