0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	Risk	Income
0	0	189	0	176	0	0	0	0	76	79	0	0	0	0	0	72	0	0	0	177	0	0	0	0	0	253	0	0	0	0	50.4665	3.93015
0	73	188	0	0	60	0	0	79	78	0	0	67	0	0	277	81	0	0	0	0	0	0	0	0	0	0	0	0	94	0	92.7363	2.05061
0	71	183	0	169	0	0	0	0	0	79	0	65	0	0	0	0	0	79	50	0	0	0	233	0	0	0	0	0	100	0	143.708	4.61477
0	0	0	0	0	70	232	64	0	0	0	0	0	51	0	0	0	0	73	0	176	0	0	0	234	0	0	0	0	0	0	188.389	2.71843
71	0	190	0	0	64	0	0	84	0	0	73	67	0	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	224.572	2.84844
0	0	0	0	182	0	0	0	82	77	0	0	0	0	0	0	0	0	67	0	0	55	0	0	0	0	254	0	60	0	78	268.622	4.63353
0	76	0	81	0	0	229	0	0	0	0	0	0	0	228	0	0	56	78	0	0	0	0	0	0	0	252	0	0	0	76	316.754	3.62391
0	0	0	0	0	0	0	0	0	84	79	77	0	57	0	0	80	48	0	0	0	0	47	234	0	0	249	0	0	0	0	362.407	3.01857
70	0	189	0	0	0	0	0	0	0	0	0	0	57	0	279	0	0	74	44	0	58	0	0	0	0	0	64	0	0	0	398.008	1.48122
66	0	0	0	181	0	231	60	0	0	0	0	0	55	0	282	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	442.853	3.20689
0	0	0	87	0	0	228	67	82	84	0	0	0	0	0	282	0	0	0	0	0	56	49	0	0	0	0	0	0	0	0	484.099	2.54007
75	76	188	0	0	0	0	0	0	82	0	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	248	59	0	85	0	529.878	2.11763
0	0	183	0	0	67	0	0	0	0	0	70	0	0	0	0	74	0	79	0	173	0	56	0	236	225	0	0	0	0	0	585.043	3.63414
0	0	0	0	174	0	226	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	233	0	0	250	64	0	0	69	641.952	5.09385
0	74	184	0	178	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	171	0	0	228	0	0	0	57	0	0	0	690.031	4.25826
0	0	188	0	174	0	0	0	0	0	0	0	0	47	0	0	0	0	65	0	0	59	0	228	0	0	0	0	54	93	0	735.111	4.17165
0	73	187	0	0	0	0	64	0	0	0	77	71	0	0	283	0	0	0	0	169	56	0	227	0	0	0	0	0	0	77	790.026	3.27572
0	0	0	0	0	69	0	60	84	0	0	78	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	67	59	0	0	817.348	2.85224
0	0	0	88	0	61	0	0	0	81	0	0	0	56	234	0	0	0	0	0	0	0	0	225	0	0	257	0	0	99	79	870.108	3.98756
72	0	0	0	180	0	0	67	0	0	0	71	0	0	0	0	0	0	0	0	172	0	0	234	235	0	0	62	0	0	74	928.967	5.06742
63	0	0	0	0	69	0	62	0	85	0	0	71	0	0	0	0	0	0	0	0	0	53	0	0	0	0	72	66	99	0	956.043	2.0966
0	0	0	84	176	0	0	0	0	0	0	0	0	0	0	276	0	0	0	0	0	43	0	0	235	0	0	0	60	86	65	1004.77	3.71848
73	0	64	0	0	0	0	0	87	0	0	0	0	0	0	221	0	59	0	56	0	0	0	235	0	233	201	0	61	0	0	1063.87	4.16784
0	0	0	0	176	0	0	68	0	0	0	67	0	0	0	0	0	0	0	0	172	55	0	0	236	0	0	69	0	96	0	1110.39	4.15244
67	0	0	0	0	58	0	0	0	0	0	0	71	0	0	282	76	0	0	0	0	0	0	228	0	0	0	0	58	0	0	1147.1	1.783
0	74	0	88	0	68	0	59	0	0	0	76	0	0	234	0	0	0	0	50	0	0	0	231	0	0	0	0	60	0	0	1188.4	3.91664
77	77	0	0	0	0	0	0	0	0	80	0	67	0	0	0	0	0	79	0	0	0	55	232	0	0	0	0	58	0	0	1222.18	2.79366
0	0	0	0	0	0	0	0	0	0	0	67	0	58	0	0	71	0	0	0	170	0	58	0	237	234	0	0	64	96	0	1270.45	3.63138
0	0	186	84	0	0	0	0	85	0	0	0	62	0	0	0	0	0	0	48	171	53	0	234	0	0	0	0	65	0	0	1315.13	3.60763
0	0	0	0	182	0	0	57	88	0	0	0	0	0	0	277	0	60	0	0	0	51	0	231	0	226	0	0	0	0	0	1372.68	5.01483
0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	272	0	49	76	0	167	0	51	226	0	155	255	0	0	0	0	1433.6	3.91898
75	0	0	0	0	0	237	0	0	0	0	0	0	0	226	0	0	60	80	57	0	59	0	0	0	0	0	0	0	86	0	1472.05	2.61087
0	0	0	0	0	0	0	59	0	0	76	73	0	0	0	0	0	45	0	52	0	0	0	0	227	231	256	0	0	96	0	1524.72	3.84851
0	72	0	0	0	0	0	0	0	81	77	0	0	0	0	0	0	0	0	56	0	59	0	0	229	0	0	72	0	89	65	1560.76	2.21611
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	79	0	0	50	0	58	59	0	228	0	257	0	56	0	0	1608.89	2.46864
0	0	0	0	180	0	228	64	0	0	72	0	0	0	0	280	69	0	0	0	0	0	0	0	0	0	254	0	66	0	0	1666.7	4.29213
0	0	186	0	180	66	0	0	0	0	76	0	0	0	0	0	0	0	0	0	172	58	0	0	0	0	257	72	0	99	0	1722.41	4.2908
0	75	0	0	0	67	0	0	0	76	77	0	0	0	0	0	79	56	0	0	172	0	0	0	0	0	0	65	0	0	0	1752.54	1.49485
0	0	0	86	175	64	0	59	0	0	0	0	0	0	0	0	0	0	74	56	0	0	0	0	0	233	0	70	66	0	0	1797.24	5.01925
0	0	190	88	0	63	235	0	0	0	0	0	0	0	235	0	77	0	0	51	167	0	0	235	0	0	0	0	0	0	0	1857.15	3.95103
0	0	0	0	176	0	230	67	0	0	0	0	0	0	0	266	0	0	75	0	0	51	51	0	0	0	0	63	0	91	0	1907.7	3.93701
0	0	181	80	182	0	0	57	0	0	0	78	0	0	0	270	78	0	0	0	0	0	0	227	0	0	0	0	0	0	0	1962.67	4.22788
0	0	187	0	0	0	0	63	0	0	0	0	0	0	0	0	0	53	77	0	175	57	0	0	0	225	0	58	0	94	0	2006.23	2.99913
74	0	0	0	0	0	0	0	88	0	0	0	69	0	0	0	0	0	78	0	173	0	0	0	237	232	0	0	0	0	0	2052.39	3.66209
64	0	185	0	172	0	0	0	0	0	0	74	0	0	0	0	74	60	0	0	169	0	0	0	0	0	0	60	61	0	0	2096.06	3.60824
0	0	0	0	171	0	0	0	0	0	0	75	0	58	0	0	0	0	0	0	176	0	0	0	237	222	0	69	0	89	0	2150.37	4.9746
0	77	0	0	0	67	232	0	0	0	0	0	0	0	0	0	0	0	0	0	176	0	0	230	0	0	255	0	0	96	0	2203.1	3.42923
0	0	0	87	0	0	0	0	84	0	0	75	70	0	0	0	79	0	0	0	0	0	0	0	0	0	255	0	0	85	71	2239.17	2.89344
66	0	0	84	180	61	235	0	0	84	0	0	72	0	0	0	81	0	0	0	171	0	56	0	0	0	0	0	0	0	0	2293.03	4.47418
0	0	0	0	0	68	234	0	90	81	73	73	0	0	0	283	0	0	75	0	176	0	0	233	0	0	0	0	0	0	0	2357.8	3.96472
0	0	0	0	0	0	0	0	0	0	79	0	62	0	0	0	0	0	0	0	0	55	50	0	0	233	0	0	64	91	0	2384.59	2.45023
0	0	0	0	0	71	0	62	0	0	0	0	0	0	235	0	69	0	0	0	175	0	0	0	237	0	0	0	0	0	0	2423.22	2.4917
0	0	0	0	0	0	0	0	86	0	77	0	0	0	0	0	0	60	0	50	0	0	0	0	0	234	0	0	58	0	68	2452.41	2.65741
0	0	185	0	167	67	236	0	0	0	0	76	0	0	0	0	0	0	0	56	0	0	59	0	0	0	0	0	58	0	0	2497.03	4.09588
74	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	223	232	232	251	71	0	0	76	2554.8	4.17558
0	0	0	79	0	0	0	56	0	81	0	0	68	0	0	275	0	0	76	0	174	0	0	0	233	229	0	0	0	0	73	2616.06	4.00605
0	0	184	0	0	69	0	63	0	0	0	77	0	0	0	0	0	0	79	0	0	0	0	0	225	233	0	72	0	0	0	2663.37	3.41596
0	68	0	0	0	0	0	61	0	75	0	0	62	0	0	0	0	57	0	50	0	49	0	0	0	0	0	55	56	0	78	2689.21	2.0977
72	68	0	0	0	65	0	0	0	0	0	0	70	42	0	282	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	2716.72	1.37768
62	0	0	84	0	0	0	0	0	0	74	78	72	0	232	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2751.63	2.30063
0	0	0	0	0	0	228	63	0	81	75	0	0	0	0	0	0	0	70	0	176	50	0	223	0	0	0	0	0	86	0	2800.75	3.28604
0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	49	79	44	174	48	48	0	224	0	255	0	0	0	0	2858.54	4.83904
0	0	191	0	0	0	0	0	0	0	0	0	0	52	0	0	77	0	0	0	176	0	0	228	233	227	0	0	0	57	0	2916.65	3.6745
76	0	0	0	0	64	0	0	0	0	74	0	0	58	0	281	0	0	0	0	0	0	0	0	0	0	253	64	0	98	0	2958.71	1.7941
0	77	186	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	48	0	0	0	0	232	0	249	71	61	96	0	3008.19	3.23481
0	0	0	0	0	0	0	0	0	0	77	78	65	0	235	266	0	0	0	0	0	0	0	0	232	0	0	0	67	89	0	3054.63	3.018
0	69	189	0	180	0	0	65	0	84	75	0	0	0	0	0	0	0	0	0	167	0	0	232	0	0	0	73	0	0	0	3109.89	4.78406
