0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	Risk	Income
0	0	0	0	0	66	0	63	0	0	0	76	0	44	235	0	0	0	0	56	0	0	0	0	0	0	255	69	0	86	0	41.0569	3.35365
0	0	0	0	0	58	0	0	86	0	0	0	0	0	0	283	0	0	0	56	168	0	0	0	0	0	0	69	0	96	79	79.2502	2.01677
65	0	0	0	0	0	0	57	0	0	79	0	64	46	0	0	0	0	80	0	176	0	0	235	0	0	249	0	0	0	0	129.58	3.60704
0	0	185	0	0	0	0	0	89	0	0	0	0	0	0	273	0	0	0	56	0	57	0	0	0	219	254	0	56	0	0	181.715	3.53285
0	0	0	0	0	68	0	55	82	0	73	74	64	0	0	0	0	0	68	0	0	0	59	222	0	0	0	64	0	0	0	221.612	3.43758
0	68	0	80	179	64	0	0	0	0	0	0	70	0	235	0	0	0	0	0	0	0	0	224	0	0	0	64	0	85	0	271.764	5.12712
0	0	0	0	172	0	0	0	0	0	0	74	0	55	0	270	0	0	79	0	171	0	0	0	0	220	0	0	66	0	0	324.729	4.81025
64	75	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	58	167	0	55	230	0	224	0	0	0	94	0	379.491	4.13136
0	77	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	50	0	0	0	233	237	0	255	0	63	90	0	431.888	4.09006
77	76	0	0	0	0	0	0	80	77	0	77	70	0	0	278	0	0	0	0	0	50	0	0	0	0	0	0	0	0	77	468.04	2.26396
0	0	0	84	171	66	232	64	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	232	0	249	70	0	0	70	534.685	5.42031
0	0	0	0	0	71	226	0	0	0	0	0	0	56	231	0	0	0	0	58	0	0	0	232	231	0	0	0	0	88	68	593.068	3.95826
0	0	0	87	0	0	0	0	0	0	0	74	0	0	0	0	0	57	0	44	0	0	58	234	0	0	0	64	0	0	0	621.988	2.33005
74	0	0	0	0	0	0	0	90	0	0	0	0	0	232	0	0	50	0	55	0	0	0	0	231	0	0	0	0	0	0	656.001	2.56098
0	0	0	89	178	59	0	0	0	0	0	0	0	56	0	279	0	45	0	0	0	0	0	0	0	0	252	60	0	0	0	705.626	3.66887
0	74	0	0	182	0	0	0	0	74	79	0	64	43	0	270	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	753.789	4.24804
0	0	188	0	0	0	0	0	0	0	0	0	0	57	0	0	77	57	0	0	0	0	46	0	0	227	0	69	56	0	67	790.266	2.47993
65	76	0	88	0	0	0	0	0	0	75	0	64	0	0	0	0	0	0	0	0	60	0	231	0	0	0	0	0	0	0	820.099	2.24437
0	0	0	79	180	0	222	0	0	0	78	0	71	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	97	72	863.585	4.11608
0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	175	55	0	0	235	231	0	57	0	0	0	909.534	2.74813
62	0	0	0	0	0	0	67	81	0	75	0	0	56	0	0	0	0	0	0	167	0	0	0	227	0	0	0	55	0	0	947.492	2.73135
59	0	0	0	0	0	0	0	0	0	0	67	69	55	0	283	0	0	0	0	171	0	0	0	235	0	0	0	67	100	0	995.676	2.65844
0	0	191	0	0	61	226	62	0	0	0	0	71	0	234	0	0	0	0	0	0	0	0	0	0	0	253	0	0	0	0	1043.62	3.36118
0	0	0	0	0	0	0	0	0	0	74	0	0	54	0	274	80	54	76	0	0	0	0	0	0	0	0	68	0	0	64	1076.16	1.14756
0	0	0	0	0	64	237	0	0	0	0	75	0	56	0	0	0	0	0	0	0	0	0	0	230	0	0	67	63	0	79	1116.76	2.65129
0	77	0	0	0	0	0	0	0	0	0	0	67	53	232	0	0	56	71	0	0	0	0	228	0	0	0	0	0	0	0	1152.08	3.00794
0	72	0	85	171	70	0	62	0	0	0	70	0	0	0	0	0	46	0	0	171	0	0	0	0	0	255	72	0	0	0	1204.98	4.82243
49	0	191	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	65	51	0	0	54	231	189	0	256	0	0	0	0	1262.55	4.05179
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	48	0	0	176	0	0	0	0	0	251	72	66	94	0	1296.59	2.07938
76	0	0	0	0	0	234	0	0	0	0	78	70	0	0	0	0	0	75	49	0	0	0	230	237	0	0	64	0	0	0	1350.32	3.72959
63	0	186	0	181	0	0	64	0	0	0	0	61	45	0	0	0	0	0	0	0	53	0	0	227	0	255	0	0	0	77	1410.25	4.81154
67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	74	0	176	0	52	0	224	0	0	0	60	0	0	1445.35	2.17074
0	0	0	0	0	0	0	0	0	78	78	0	65	42	232	281	0	0	0	0	175	0	0	0	226	0	0	59	0	0	0	1498.69	3.03306
0	0	0	0	182	0	0	0	0	0	0	0	64	49	0	0	0	0	0	0	0	59	47	0	0	226	0	0	58	0	0	1533.01	4.19348
0	0	0	0	0	0	0	0	0	75	77	0	0	48	0	0	72	48	0	0	0	0	0	0	237	232	0	73	0	96	0	1577.5	2.72556
0	0	182	0	0	0	0	62	0	81	0	0	0	0	0	274	0	0	0	0	175	50	0	0	235	0	0	0	59	0	73	1629.58	2.5896
0	0	0	0	0	0	0	0	0	0	0	0	67	0	227	0	0	58	74	0	0	0	0	0	230	0	257	0	54	98	78	1680.95	3.77245
0	0	77	0	0	0	0	0	0	0	70	0	0	0	0	283	0	0	0	54	0	56	0	0	172	230	258	0	0	95	0	1738.74	3.26758
61	77	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	233	0	224	0	0	65	91	74	1783.15	3.62784
75	0	188	85	0	0	0	0	85	0	0	0	0	0	0	266	0	57	0	0	0	59	50	231	0	0	0	0	0	97	0	1835.5	2.85061
