0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	Risk	Income
0	0	0	0	180	0	0	0	87	0	0	0	63	0	0	282	0	0	79	0	0	0	0	232	0	232	252	0	0	0	0	69.5288	6.14689
0	0	0	0	0	0	224	0	0	0	0	0	0	0	234	274	0	0	66	0	0	0	57	226	0	0	0	0	54	0	0	49.3641	3.34354
0	0	0	0	180	63	237	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	55	0	224	231	257	0	54	0	0	69.2985	6.19589
0	0	0	0	0	62	0	0	0	74	0	66	0	0	0	0	0	0	0	0	176	0	0	234	236	234	0	70	0	97	0	58.6216	4.17559
0	75	0	87	178	0	228	0	90	0	78	0	0	57	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	86	0	47.541	4.43438
0	0	0	0	180	0	221	67	0	0	70	0	0	59	0	283	0	0	76	0	175	0	0	0	0	231	0	0	0	0	0	65.8236	5.24377
74	0	0	0	178	0	0	0	0	79	0	0	0	0	0	0	0	59	0	51	0	0	0	230	0	223	0	0	0	99	77	53.1773	4.88357
0	0	0	0	0	0	0	62	79	0	77	76	0	58	0	0	0	0	0	0	176	0	0	234	236	0	0	0	0	0	77	52.1863	3.82889
71	73	0	0	0	0	0	0	0	0	71	0	0	0	228	0	0	61	0	0	0	55	0	229	0	0	0	54	0	0	0	36.2713	2.58267
0	72	0	0	169	0	228	0	87	0	0	0	71	0	233	267	0	0	0	54	0	0	0	232	0	0	0	0	63	0	0	68.1584	6.14348
66	0	191	0	167	70	0	64	90	81	74	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44.6284	3.70094
0	0	0	0	0	0	0	57	0	85	0	78	0	0	231	0	0	0	0	0	0	0	0	234	0	235	0	0	58	0	0	42.8553	4.23625
0	0	0	0	171	0	234	0	83	72	79	0	0	0	0	0	80	0	0	0	0	0	54	0	237	229	0	0	0	0	0	63.3015	5.45931
62	0	185	0	0	0	228	0	90	0	0	0	0	0	0	0	0	0	79	53	0	0	0	227	235	0	0	55	0	0	78	62.1448	4.07923
0	0	191	0	0	0	0	0	0	81	0	78	0	0	229	0	0	0	0	0	0	45	0	234	231	0	0	0	0	0	71	52.0024	3.62863
69	77	0	88	0	63	0	0	0	0	0	70	0	0	230	0	0	0	73	54	0	0	0	231	0	0	0	0	0	0	0	43.3818	3.72824
0	76	0	0	0	67	0	0	0	0	79	0	71	49	0	0	0	0	74	0	0	0	0	0	236	0	257	0	61	0	0	47.0921	3.32376
0	0	0	0	0	0	0	0	83	0	0	0	0	0	227	279	0	0	0	0	143	0	0	0	69	229	256	0	0	100	0	59.9317	4.23848
0	0	186	87	0	68	0	0	0	0	0	0	0	58	0	282	0	0	0	0	170	0	52	0	232	0	0	0	0	0	0	51.4601	2.36502
0	0	0	0	173	0	237	0	0	0	0	74	65	0	0	0	0	0	0	44	172	0	55	231	0	232	249	0	0	0	0	75.2986	6.9204
0	0	185	0	177	64	224	0	84	0	0	0	69	0	0	0	0	0	0	0	0	0	51	234	0	0	0	0	57	0	0	57.1797	5.26729
0	0	0	0	180	66	0	0	85	0	0	0	0	0	236	0	0	58	0	0	0	0	59	0	237	0	0	0	0	0	0	47.3386	4.5461
70	0	185	0	0	0	0	0	0	77	0	0	0	0	0	0	0	57	70	0	0	59	0	233	0	0	0	0	0	99	0	38.9158	2.20832
0	77	0	0	180	0	225	0	0	0	78	0	0	44	0	0	0	0	0	54	0	59	0	0	0	0	0	71	0	0	73	42.3222	3.89433
0	77	187	80	0	0	0	65	87	0	0	0	0	0	233	0	0	0	79	44	0	0	0	0	0	0	0	0	0	0	71	40.1421	3.62278
0	0	182	0	0	62	0	57	0	0	0	0	0	0	230	280	0	56	0	0	0	0	0	0	0	0	0	64	0	0	76	40.8033	1.96459
65	0	0	0	0	0	236	56	90	0	77	0	0	0	0	0	0	0	65	56	0	0	0	0	0	0	0	57	0	90	0	36.7855	2.70158
0	0	189	83	0	0	0	0	79	0	0	71	0	0	0	282	0	0	0	0	0	0	0	226	0	0	0	0	63	0	75	46.4278	3.04024
0	0	0	0	0	62	0	65	90	0	0	71	0	58	0	265	0	0	0	0	0	59	59	0	0	0	258	0	63	0	0	46.9341	3.28892
0	0	0	0	173	0	236	0	87	0	79	0	0	0	0	0	70	0	0	0	0	55	0	0	0	233	0	57	0	0	0	49.1586	4.6493
75	0	183	0	0	0	0	0	0	81	0	0	62	0	0	0	0	54	65	0	0	46	0	0	0	0	0	0	0	0	0	25.367	1.35839
0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	173	0	0	235	236	222	251	0	0	87	0	61.2137	4.23221
0	0	0	0	0	0	235	0	82	78	0	0	0	0	0	193	0	0	0	50	172	0	0	235	0	0	252	71	66	0	0	65.5595	4.45388
