0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	Risk	Income
0	0	0	0	0	67	0	0	0	0	77	75	0	0	0	0	78	0	0	45	0	0	0	227	0	0	256	72	0	0	0	42.438	2.78889
0	0	188	82	180	66	233	0	0	0	73	0	0	47	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	89	0	92.1002	4.04817
0	0	0	0	172	0	0	0	75	0	75	0	0	0	229	0	79	50	0	0	0	0	56	0	231	226	254	0	0	0	0	163.142	6.30809
0	0	191	0	0	0	225	0	0	74	79	0	0	0	229	0	0	0	77	0	0	49	60	0	235	0	0	0	63	0	0	220.92	3.95331
63	0	0	0	183	0	0	0	0	84	0	73	0	0	0	0	0	62	79	0	176	0	0	0	0	228	0	0	0	0	0	269.365	4.72849
0	0	0	0	181	0	0	0	0	77	0	0	64	0	0	0	0	54	66	0	0	0	0	230	0	0	251	0	0	0	0	318.264	4.5782
0	74	0	0	0	0	0	0	90	0	0	78	0	0	232	0	0	0	0	0	174	55	0	0	235	0	0	0	64	0	0	362.521	3.85133
70	0	0	0	0	0	0	0	0	76	0	67	71	0	0	0	75	51	0	0	0	59	0	232	0	0	254	0	0	0	78	409.919	3.06465
0	0	0	0	0	0	233	0	0	0	0	0	71	45	0	0	0	0	0	50	0	0	0	233	236	228	0	0	0	0	77	466.134	4.13315
72	77	0	0	177	0	237	0	0	0	0	77	0	0	0	0	0	58	0	0	0	0	0	0	0	0	254	0	0	82	0	517.047	4.37512
70	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	59	0	0	234	0	0	70	0	0	70	555.056	3.33724
0	0	184	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	224	233	232	0	0	0	99	68	616.653	4.09259
0	0	0	0	0	0	231	66	86	0	0	75	0	0	0	0	0	0	74	0	0	0	0	0	0	0	255	0	0	99	76	661.49	3.53583
0	0	0	0	0	0	0	65	0	0	0	78	0	0	0	0	0	0	0	57	0	0	58	0	0	0	0	58	54	0	0	677.321	1.72093
76	0	0	0	180	68	0	0	91	0	0	75	0	49	0	283	0	0	0	0	0	0	0	234	233	0	0	0	0	0	0	742.481	4.95657
0	0	0	87	0	0	0	0	0	0	0	0	71	0	0	0	82	62	78	0	176	0	51	0	223	0	253	0	0	88	0	797.977	3.49098
73	77	0	80	0	0	0	0	0	0	0	0	69	53	229	0	0	61	0	0	0	0	0	0	0	0	0	66	57	0	0	829.014	2.69778
0	0	0	0	0	0	0	67	0	84	0	0	0	42	0	0	0	61	72	45	0	59	0	230	0	0	257	0	0	0	0	873.84	3.21239
0	0	0	0	0	0	0	0	79	0	79	79	69	58	230	0	0	0	0	43	0	0	0	0	0	0	0	63	0	0	68	906.294	3.08574
0	0	0	0	181	0	232	0	82	0	0	78	0	49	0	0	0	0	0	0	0	0	0	0	229	0	0	68	0	0	0	954.49	4.51101
