0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	Risk	Income
0	0	0	0	181	0	0	0	90	84	0	0	69	0	0	0	0	0	0	52	166	0	0	222	0	230	0	58	62	0	0	60.009	6.33354
0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	79	50	171	50	47	0	0	0	252	0	0	98	0	97.5735	2.78762
0	0	183	0	0	0	0	0	0	84	79	78	70	59	0	0	0	0	0	0	0	47	0	233	227	0	0	0	0	0	0	147.547	3.23408
0	0	181	80	0	0	0	0	0	77	0	0	62	58	0	0	74	0	0	0	0	51	0	0	0	0	0	0	0	0	0	172.812	1.48192
0	76	181	87	0	0	0	65	0	0	0	72	0	0	234	0	0	0	0	0	172	0	0	0	0	225	0	0	63	0	0	221.952	4.51146
74	0	0	0	0	0	0	0	0	84	0	0	70	50	0	0	0	0	79	0	0	0	0	0	0	220	0	70	0	0	65	254.135	2.65187
0	0	188	82	0	0	0	0	83	0	0	77	0	0	0	0	0	0	0	57	0	0	58	0	0	0	0	59	55	0	0	282.942	2.64247
0	0	0	0	0	0	0	63	0	82	0	0	0	0	232	266	70	0	79	0	0	0	49	0	0	0	256	71	0	0	0	333.165	3.20265
65	0	188	0	0	0	0	0	0	0	0	0	0	57	0	274	0	52	0	0	0	0	0	0	0	230	0	0	58	99	0	376.048	2.26834
65	0	0	0	0	68	0	0	87	0	0	0	68	0	0	279	0	0	0	0	176	56	0	233	0	0	0	0	0	0	0	422.473	2.64373
74	0	0	0	0	0	0	0	78	0	0	74	0	0	0	0	0	0	0	0	0	54	0	235	0	0	257	0	0	0	76	462.292	3.0665
0	0	0	0	173	69	0	0	86	0	73	0	64	58	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	66	497.958	3.77071
0	0	189	0	0	0	0	67	0	0	78	71	0	0	0	0	82	0	0	0	0	0	0	0	0	224	0	63	0	0	0	531.597	2.38934
0	0	0	0	0	0	0	0	0	76	78	0	69	52	0	283	0	57	0	0	0	0	0	232	0	220	256	55	0	0	0	594.012	3.88237
0	0	188	0	0	0	0	0	0	0	0	74	67	0	0	0	0	52	79	0	168	0	52	0	0	220	0	0	0	0	0	634.773	3.15388
0	76	187	80	0	0	230	65	0	84	0	0	69	46	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	674.171	2.77196
0	0	0	0	0	0	237	0	0	0	0	78	0	0	0	0	0	61	0	59	0	0	51	230	236	0	0	0	0	0	69	723.863	3.24788
75	0	187	0	0	0	0	0	0	0	75	0	63	0	0	283	0	0	0	0	172	0	0	0	0	218	0	0	61	0	0	771.646	2.71987
76	0	0	0	0	0	0	0	0	0	0	0	0	59	233	0	80	0	0	0	0	50	0	224	237	0	0	0	0	0	0	815.689	2.85169
0	0	0	0	172	61	0	0	0	80	0	71	0	55	0	0	0	0	0	0	0	60	0	0	237	234	0	0	58	0	0	868.058	5.00983
75	76	0	83	0	0	0	0	85	0	0	0	0	52	0	0	0	58	0	0	0	0	0	0	237	0	0	0	0	0	0	900.822	2.2448
59	0	0	0	175	68	0	0	0	0	0	75	0	0	229	0	76	0	0	0	0	48	0	0	0	0	0	61	0	0	0	937.994	3.64945
0	72	0	0	172	0	221	0	87	0	0	0	0	55	0	0	0	62	65	0	172	0	0	0	0	0	0	0	0	98	0	988.747	4.59007
0	73	0	0	182	70	0	0	0	0	0	0	0	0	0	0	0	55	79	0	0	56	0	0	0	0	253	70	0	0	0	1032.22	3.94551
0	69	191	0	0	0	0	66	0	0	0	74	0	57	235	0	0	0	77	0	0	57	0	0	0	0	0	0	0	0	0	1067.13	2.93681
76	76	0	0	182	0	0	0	0	0	0	0	0	0	0	275	0	0	75	0	0	50	52	0	0	224	0	69	0	0	0	1118.09	4.40121
61	0	0	88	178	0	227	0	0	0	0	78	0	44	0	280	0	0	0	0	0	0	0	232	0	0	252	0	61	0	0	1189.96	5.67971
0	0	0	0	178	0	228	0	0	0	0	0	0	43	0	0	0	0	70	54	0	0	59	0	0	220	249	0	0	0	77	1249.55	5.64248
0	0	0	0	0	0	233	63	0	81	76	0	0	53	0	0	0	0	0	0	0	0	0	0	230	0	0	66	0	0	0	1287.96	2.29942
0	0	0	0	0	0	0	65	0	0	0	68	0	0	0	0	0	0	0	0	175	0	0	0	0	226	256	64	0	0	68	1329.22	3.38372
0	76	0	0	0	0	0	0	87	0	0	0	71	0	235	0	0	0	0	57	169	60	0	231	0	0	0	0	0	0	78	1375.73	4.10145
0	74	0	0	0	0	0	58	0	80	0	77	0	0	0	283	0	0	72	0	174	55	0	0	0	0	0	0	0	88	0	1416.74	2.42106
0	0	0	0	0	0	0	60	88	79	0	76	71	0	0	273	0	0	0	0	173	0	0	0	225	0	0	0	0	0	0	1464.32	2.99955
73	0	0	0	0	68	0	0	87	0	0	72	0	0	0	279	0	0	0	0	174	0	52	233	0	0	0	72	0	0	0	1514.23	3.02332
0	74	0	84	0	0	237	0	0	84	0	0	0	58	232	0	81	0	0	0	0	0	0	0	0	227	0	0	0	0	73	1564.06	3.98531
0	0	0	0	0	0	0	0	88	78	0	0	0	0	235	0	0	0	69	0	169	0	0	0	235	0	0	72	0	0	63	1610.19	3.57707
0	0	191	0	0	0	0	67	0	0	76	0	0	0	0	274	0	0	69	0	0	59	0	0	226	0	0	0	60	95	0	1659.35	2.43581
