0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	Risk	Income
0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	79	60	0	57	0	48	0	0	238	0	256	0	64	0	0	42.8925	2.85392
0	0	188	0	0	63	0	0	88	0	0	0	0	0	0	0	0	0	69	0	0	55	0	0	0	227	0	0	0	0	0	75.2311	2.57314
0	0	0	88	0	0	0	0	0	0	76	0	62	54	0	0	0	0	0	0	0	0	0	0	237	0	0	72	65	0	0	105.5	2.21535
0	0	0	89	0	0	0	0	79	0	0	0	67	0	0	283	0	0	75	46	173	0	0	0	0	232	257	0	0	0	0	164.691	4.34589
0	0	0	86	0	66	235	0	0	0	75	0	0	0	0	0	81	0	68	0	0	0	0	0	237	229	257	0	0	0	0	229.498	4.23341
75	77	0	0	0	0	228	0	0	78	0	0	0	49	0	0	73	0	0	0	173	0	0	226	235	0	0	0	0	99	0	291.108	3.62346
0	78	0	0	0	0	225	0	0	0	79	0	0	0	0	0	0	0	0	0	174	0	0	233	0	222	0	0	0	97	76	344.67	3.87786
0	0	0	0	0	0	227	0	81	75	0	0	0	42	0	270	0	59	0	44	0	0	0	0	0	234	0	0	0	0	0	391.525	2.95107
0	68	185	0	0	0	0	60	81	0	0	78	0	49	0	0	0	0	0	0	0	0	0	224	0	233	0	0	60	0	0	438.838	4.34306
0	70	0	82	0	70	0	0	0	83	0	0	0	52	0	0	0	0	0	50	0	0	51	234	0	0	252	0	0	0	0	484.311	3.44418
0	0	0	0	173	0	0	0	0	0	0	0	66	0	0	242	0	0	0	0	171	47	0	229	227	232	0	72	0	0	0	554.528	5.53064
0	69	0	0	0	0	0	0	0	0	0	0	70	0	0	283	0	0	0	51	0	55	0	229	0	0	0	71	0	84	0	592.929	2.20377
0	0	184	88	181	0	0	0	0	0	0	0	0	0	0	0	70	55	0	0	0	0	0	0	0	0	252	0	0	91	0	638.273	3.68823
0	77	0	0	0	60	0	0	0	0	0	0	0	50	230	0	0	0	75	0	169	0	0	0	233	0	0	72	65	0	0	684.739	3.54646
0	0	0	88	0	70	0	0	0	0	0	0	0	54	235	0	0	57	0	0	0	0	48	0	0	0	255	0	0	96	0	724.48	2.92281
0	0	0	86	0	70	0	61	0	0	0	0	0	0	0	0	0	55	71	0	0	45	0	0	0	0	254	0	64	96	65	764.12	2.84832
0	74	0	82	0	0	0	0	80	0	0	0	71	0	227	0	0	0	0	48	0	0	0	0	0	0	254	0	56	0	0	802.689	3.85701
0	0	0	0	0	62	0	0	0	0	79	71	71	0	0	0	0	47	0	0	177	0	0	0	0	234	251	0	0	0	0	848.558	3.40496
0	0	0	87	0	0	0	63	0	0	72	0	0	0	229	279	79	61	0	48	0	0	50	0	227	0	0	0	0	0	0	901.182	2.9216
72	0	0	0	176	70	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	60	223	0	225	0	0	65	0	67	952.352	4.90447
0	0	0	81	0	0	0	58	0	80	0	0	71	0	0	276	0	0	73	0	0	0	0	231	237	0	253	0	0	0	0	1016.63	4.00818
71	0	0	0	180	0	219	0	87	0	0	0	0	51	0	0	0	56	0	52	0	53	0	234	0	0	0	0	0	0	0	1068.83	4.69169
0	0	191	0	178	0	0	0	90	78	0	0	63	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	86	78	1110.51	4.24286
0	75	0	0	173	0	225	0	0	0	72	73	0	58	0	0	0	0	0	53	0	0	0	0	0	0	0	68	0	0	73	1153.41	4.10542
0	76	182	0	0	65	0	0	84	0	0	0	0	49	0	0	0	0	0	49	0	0	0	0	237	0	0	0	0	0	77	1192.61	2.53458
0	69	0	0	0	0	0	0	0	0	77	70	62	0	0	276	79	0	0	0	170	0	0	0	227	0	0	0	65	0	0	1240.71	2.60059
59	0	0	0	0	70	0	0	0	0	0	72	0	46	0	281	71	0	0	54	0	56	0	0	0	0	257	0	0	0	0	1283.62	2.01106
0	71	0	80	0	0	0	0	83	0	72	67	68	0	0	0	0	0	0	0	0	58	0	235	0	0	255	0	0	0	68	1332.48	4.06442
75	0	0	0	0	68	0	0	0	0	0	78	0	0	228	0	0	0	0	45	0	0	55	0	237	0	0	72	0	0	75	1373.96	2.98291
0	0	181	0	0	0	0	67	0	0	0	0	64	0	0	280	0	59	0	0	0	56	0	0	0	0	0	0	57	0	0	1405.06	1.38749
0	0	0	0	170	67	0	0	0	78	0	0	0	0	0	0	76	47	0	0	0	55	0	0	0	0	0	55	0	0	0	1433.86	2.4852
0	0	183	79	0	58	0	0	0	0	0	0	0	0	0	0	73	0	0	57	176	0	0	226	237	0	0	0	58	0	0	1488.14	3.3433
0	77	182	0	0	0	230	0	0	84	0	0	0	0	144	224	76	0	0	0	175	0	0	0	0	0	257	0	0	0	0	1550.82	3.39659
0	0	0	81	0	65	0	67	0	83	0	0	0	0	0	0	0	58	0	0	0	0	0	231	0	234	0	56	58	0	0	1594.2	3.57625
0	0	130	0	0	0	0	0	0	0	0	77	0	51	228	274	0	0	0	0	176	0	0	0	230	0	255	0	0	0	0	1656.7	3.65277
0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	272	0	50	0	0	0	0	0	0	235	0	0	0	60	98	74	1693.61	1.70234
